Book Reference No,Description_x,Material_x,Museum Reference No_x,Citation_x,ref_no_x,path_x,path_exists_x,update
162,Stela,Sandstone,SNM 27499,"162 Stela Sandstone Naga, Temple of Apedemak (Lion Temple), excav. no. 301/4 Kushite (Meroitic), first century ap H112 mm, W 104 mm,Th 18 mm SNM 27499 This fragment belongs to a small stela originally representing three figures. The woman on the right wears a short curled wig and a diadem with two uraei, crowned by the white and red crown. On her head a part of the claw of a falcon is preserved, enough to reconstruct the headdress typical for Apedemak's consort, the goddess Amesemi (cat, 163), a double falcon on a crescent. A garment with fringed sleeves, a broad collar and a bracelet complete her cos- tume. Her raised left hand presents the ankh sign to a person facing her; only the right hand of this figure is preserved. The extremely long fingernails of both persons are character- istic of women; therefore the figure on the left of the fragment mus: ve a queen. The ankh sign in the uppermost left corner of the frag- ment is attached to a curved line descending from above, most probably from a sceptre held over the queen by another figure on the extreme left, a god. The symmetrical composi- tion showed the queen between Amesemi and Apedemak. A stela found in the sanctuary of the Amun Temple at Naga (Carrier 2000 (REM 1293), 5-6, 26-7, figs 17-19) presents the same arrangement. On the reverse, seven lines of a cursive Meroitic inscription mention a name ‘Aman{...]', either Amanitore or Amanishakheto (cat. 163), and the epithet ‘the good one in heaven’. DW Carrier 1999, 3 (REM 1238), 19, fig. 13; Priese 1997b, 263, no. 285; 1998, 217, 219, pl. ; Wildung 1998, 184; 1999, 48, fig. 41",27499,,False,
163,Stela of Queen Amanishakheto,Sandstone,SNM 31338,"163 Stela of Queen Amanishakheto and the goddess Amesemi Sandstone Naga, Temple of Amun, Hypostyle (101), excav. no. 101/19 Kushite (Meroitic), late first century bc H255 mm, W 140mm SNM 31338 The front of this round-topped small stela, found between the fallen columns of the hypostyle hall in the Temple of Amun at Naga, is decorated in sunk relief of high tech- nical and artistic quality. Under the winged 162 --- Page 182 --- sun-dise !:)ing the upper fourth of the stela, two fernzle figures are represented facing each other. Both are wearing a close-fitting dress descending to the feet, a fringed scarf over the right shoulder, a broad collar and a round curled wig. Otherwise they are repre- sented in very different ways. The left figure has a slim, elegant body; the dress shows a fine pattern of diagonal stripes and dotted lines. A chin-band, an earring, an orna- mented diadem with uraeus and a crown consisting of a pair of falcons with sun-discs sitting on a crescent contrast with the pleated dress and the simple diadem of the extremely corpulent woman on the right. The inscriptions in Meroitic hieroglyphs identify the left figure as Amesemi, the divine consort of the lion god Apedemak (the first complete reference to this name) and the figure to the right as Amanishakheto (with- "" AAA PARD PENA 163: front out cartouche), the well-known Meroitic queen buried in Pyramid N.6 at Begrawiya. The goddess plays the active part: her right hand supports the elbow of the queen's right arm, raised in adoration of Amesemi; her left arm passes behind the queen, the left hand supports the neck of the queen, and a dotted line, starting at the tip of the forefinger, sur- rounds the head of the queen to her forehead. A chain consisting of tiny ankh signs extends from Amesemi's nose to the nose of Aman- ishakheto. This animation by the divine breath is illustrated in a similar way in the reliefs of the Lion Temple at Naga. The rear and the sides of the stela have fifteen lines of text in cursive Meroitic, topped on the rear by a line in Egyptian hieroglyphs without specific meaning. In his still unpub- lished analysis of the Meroitic text Claude Rilly (letter of 8 September 2000) states the SUDAN: ANCIENT TREASURES ‘feeling of frustration’ of the philologist in front of such a well-preserved inscription, but he succeeds at least in defining the character of the text as a religious hymn. Not only does the text keep its secret. but an important historical question also remains open: why and how was a stela of Queen Amanishakheto, dated about sixty years before Natakamani and Amanitore, donated to the Temple of Amun at Naga, a structure not yet in existence during the lifetime of this queen? Do we have to rethink the sequence of Meroitic rulers? DW Carrier 2000, 6 (REM 1294) 7, 28-30, figs 20-23; Leclant and Minault-Gout 2000, pl. XXXII, no. 29: Wildung 2001, 150-51. fig. 15; 2002. fig. 10; Wildung and Kroeper 2003, 33, fig. + OGIO oh . Tae eC 181 --- Page 183 --- SUDAN? ANCIENT TREASURES 164a-c",31338,sudan-ancient-treasures-images/31338.png,True,
164,Block statues,Sandstone,SNM 31332,"164 Block statues Sandstone Naga. Temple of Amun, Room 107, excav. nos 107/1, 107/2, 107/3 Kushite (Meroitic), first-second centuries ap aH 185 mm, W 93 mm,Th 128 mm bH175 mm. W 61 mm.Th 134mm cH210 mm, W 84mm SNM 31332a-c No less than six small block Statues and the head of a seventh have been found inside and near the Temple of Amun at Naga, some of them — like the royal statues (cat. 170) —care- fully hidden in safe corners. The statue type goes back to the cube statue introduced into Egyptian sculpture at about 19 50 ac (cf. cat. 77) and frequently used — mainly as temple statues — until the Ptolemaic period; besides these statues from Naga, this type is other- wise not known in Meroitic art. The style of these small sculptures is also unparalleled. Sculpted in a local workshop, they do not correspond to the stylistic expression of Meroitic art as represented in relief and sculpture of the urban centres, and are unre- lated to Egyptian or Hellenistic influences, Their deeply ‘African’ expression relates them visually to sculptures in West Africa (Nok, Ife) and assigns them a place at the beginnings of African art. The function of these small block statues remains unclear. All of them show traces of rubbing and have lost the original surfaces on both sides. Most probably they were used in a ritual, where ground sandstone from these statues was produced for magical practices (cf. Traunecker 1987, 221-42). DW Wildung 2001, 150, fig. 16; 2002, nos 17, 18, 20, pls 8.1-8, 9.1-4; Wildung and Kroeper 2003, 36, fig. 9",31332,sudan-ancient-treasures-images/31332a_c.png,False,sudan-ancient-treasures-images/31332a_c.png
165,Statuette of a god,Granite,SNM 31337,"165 Statuette of a god Granite Naga, Temple of Amun, Room 103 and Sanctuary (104), excav. nos 103/6, 104/3 Kushite (Meroitic), first-second centuries aD H438 mm, W 161 mm, Th 219 mm SNM 31337 Some of the statues excavated in the one Temple at Naga are almost purely Hee - structure, iconography "" sige arn a male striding figure, W hed been found at two ee in the temple, follows in its base an = pillar, and in the position of the advan a foot, traditional Egyptian patterns. "" a are the pana omen! = feet a er held in the left fist. ee sign in the right hand are the figure as the representation of : ee a probably Amun. Since the feet an : ; pede very similar granite statue of oot pond sions (109/1) were found in a sideroo oan same temple, one may ee cas ‘ a pair of statues, one ia he scat purely human form, the other wit oa of aram (cf. cat. 147). Wildung 2002, no. 1, figs 2-3, pl. 1.1-4 --- Page 184 ---",31337,sudan-ancient-treasures-images/31337.png,True,
166,Statuettes of Bes,Faience,SNM 31334,"166 Statuettes of Bes Faience Naga, Temple of Amun, Room 107, excav. nos 107/12, 107/9, 107/13 Kushite (Meroitic), first-second centuries AD aH 190mm, W 81 mm, Th 50 mm bH 136 mm, W 80mm, Th 50 mm cH 123 mm, W 80mm, Th 50 mm SNM 31334a-c The dwarf-shaped god Bes, in Egyptian reli- gion the protector of mother and child, has his roots according to Egyptian texts on the Upper Nile: ‘Lord of Punt’ and ‘Ruler of Nubia’ are his epithets. These faience figures, relief plaques rather than sculptures, show him in frontal view with his horrifying gri- mace combining aspects of a human face and a lion head, surmounted by a feather-crown. The extremely large heads with widely open eyes distinguish these Bes figures from the Egyptian type (cf. cats 142-3, 285). Horizontal holes passing through the rear of the figures served for fixing them on a support. DW Wildung and Kroeper 2003, 36, fig, 10",31334,sudan-ancient-treasures-images/31334a.png,False,sudan-ancient-treasures-images/31334a.png
167,Statuette of Isis with,Horus child,SNM 31333,"167 Statuette of Isis with Horus child Faience Naga, Temple of Amun, Room 107, excav. no. 107/5 Kushite (Meroitic), first-second centuries ap H 100 mm, W 49 mm, Th 80 mm SNM 31333 Two aspects of Meroitic art are combined in this small statue of Isis in blue-green faience. The Egyptian iconography of the divine mother holding the Horus child on her lap, presenting to him her left breast and wearing the tripartite wig and cow horns with the sun- disc, is integrated into the stumpy figure with proportionally large head and short neck, and a rough face with big ears — obviously the product of a Meroitic workshop using its specific means of stylistic expression. DW Wildung 2002, no. 6, pl. 3.1-4 SUDAN: ANCIENT TREASURES 183 --- Page 185 --- SUDAN: ANCIENT TREASURES",31333,sudan-ancient-treasures-images/31333.png,True,
168,Statue of a toad,Sandstone,SNM 31336,"168 Statue of a toad Sandstone Naga. Temple of Amun, Room 105, excav. no. 105/1 Kushite (Meroitic), first-second centuries ap H255 mm. W 136 mm.Th 138 mm SNM 31336 This large-scale statue of a toad is clearly distinguished from the representation of a frog by the pattern on the back — small circles indicating the warts. The animal cranes its head and exposes between the forelegs its belly with a pattern representing the soft skin. The eyes are large globular protruberances. The position of the hindlegs indicates its readiness to jump forward. In its reduction to the basic forms this highly expressive statue is a masterpiece not only of Meroitic sculpture, but of animal sculpture in general. The significance of this animal may be related to that of the frog in Egyptian religion, where it is connected with the primeval water, creation and birth. Frogs are a motif on painted Meroitic pottery (Wenig 1978b, 299, no. 255; Wildung 1997, 350, no. 412) and on late Meroitic bronze vessels (Wildung 1997, 384, no. 455); they take monumental dimensions in the frog statues from Basa.!_ DW",31336,sudan-ancient-treasures-images/31336.png,True,
169,Offering basin,Sandstone,SNM 27500,"169 Offering basin Sandstone Naga. interior of Temple of Apedemak (Lion Temple), excav. no. 301/1 Kushite (Meroitic), first century ab H 101 mm, L 722 mm, W 300 mm SNM 27500 This oblong rectangular basin, damaged at both ends, has a central rosette, flanked by two ankh signs and these in turn by four- petalled blossoms. These motifs are executed in high, narrow bridges against the Geexty recessed background. They are drilled through at several areas to let water flow over the basin. The flowers swimming on the water-table were — together with the ankh signs — an impressive symbol of life aad pros- perity. Similar sandstone offering basins have been found at Naga in situ in front of the shrine of the Lion Temple, on the altar in the open Courtyard 106 and in the sanctuary of the Temple of Amun. The shape of the ankh with the central circle and the triangular branches is typically Meroitic. DW Wildung 1997, 361, no. 432; 1999, 50, fig. 45 --- Page 186 --- 170a-c, top; 170d-f, bottom",27500,sudan-ancient-treasures-images/27500.png,True,
170,Statuettes of King Natakamani,Sandstone,SNM 3011,"170 Statuettes of King Natakamani Sandstone Naga, Temple of Amun, excav, nos 151/1, 151/2, 104/5, 146/1, 146/2, 101/25 Kushite (Meroitic), first century ap aH 380 mm, W 133 mm, Th 138 mm bH 140 mm, W119 mm, Th 126mm cH 168 mm, W 145 mm, Th 123 mm dH 377 mm, W 131 mm, Th 135mm ¢H 132mm, W121 mm, Th 109 mm fH165 mm, W77 mm, Th 95mm SNM 3011 5a, 30115b, 31339b, 301 16a, 3011 6b, 31339a Fragments of several small royal statues in sandstone have been found at different loca- tions inside and outside the Temple of Amun at Naga, some of them obviously deposited carefully behind altars and under fallen blocks. Originally they belonged to the ram ma» statues, forming a monumental avenue in front of the temple. On all of these twelve statues (and on a thirteenth one behind the temple) the feet of the royal figures can still be seen between the forelegs of the rams. The prototype of these ram statues with royal figures in front can be found in Soleb, in the ram avenue of Amenhotep III. These rams, reused by King Taharko at Temple B 500 of Jebel Barkal, apparently served as direct models for the Naga rams — another case of the close connection between Naga and Napata (cat. 159). The king is represented in mummiform shape, wearing the nemes headdress (the only attestation in Meroitic art) and the royal beard, and holding in his fists the heqa- crook, the flail and an ankh-sceptre descend- ing to the feet. This iconography is the royal SUDAN: ANCIENT TREASURES version of the canonical appearance of the god Khonsu, the son of Amun. The close- fitting cap and side-plait of Khonsu are replaced by the nemes, thus making the king the son of Amun, protected by his father in animal form, Although all these statues belong to a uni- form complex representing the same person. King Natakamani, the workmanship and style of the faces is very variable, Different artists cover the stylistic range, from idealizing faces to a clearly ‘African’ expression. DW Leclant and Clere 1998. pl. XLVI, no. 52; Wildung 2002, nos 7~14; 1999, 60-64, figs 56-61; Wildung and Kroeper 2003, 37. fig. 12. 185 --- Page 187 --- , THE PRE-CHRISTIAN EMPIRE AND KINGDOMS PATRICE LENOBLE ast excavation of the qore’s (kings’) pyramids and the tombs of the social elite enabled the creation of a chronology for the Kushite Empire. Sovereigns’ pyramids of the imperial dynasty were probably all investi- gated in succession on four sites. Secondary pyramids and mastabas were also examined on these sites and in Lower Nubia, revealing numerous lower-ranking dignitaries, viceroys in particular. There is little hope of shedding more light on this chronology without further information concerning the empire’s political organization, the order and exact length of the reigns, vicissi- tudes caused by possible divisions and temporary extensions or successions. The chronology stops in the fourth century ap because the construction of pyramids in the southern capital ceased at this point. Victory texts found at Aksum and at Meroe (cat. 155) lead one to suppose that the Meroitic Empire was subjugated by the Aksumite Empire at this time and consequently its funerary tradition came to a halt. The two centuries preceding the Christianization of the Middle Nile attest to the dis- appearance of imperial pyramid necropolises and the substitution of several cemeter- ies with mounds of exceptional size. One may record at least fourteen such sites along the valley (fig. 130). Five are well known in the Nubian desert following the numerous Surveys and excavations upstream from Sadd el Ali (Aswan High Dam); all others in the Sahel await work with only rare and modest soundings undertaken hitherto. A royal chronology for Nubia was recently created for the fourth and fifth centuries ap."" In the richest provinces one may foresee the discovery of important necropolises, either now poorly known or as yet unknown. The poverty of the southern docu- mentation hinders any detailed description of the evolution of a unified Kushite Empire into the three kingdoms successively Christianized in the sixth century AD. THE PROBLEMATIC IDENTIFICATION OF PRE-CHRISTIAN SOVEREIGNTY Due to general pillaging, a funerary crown has never been found beneath a pyra- mid. Nevertheless, it is not difficult to recognize Kushite rulers’ graves. Qore and dignitaries maintained royal workshops (scribes, architects, masons, sculptors, painters, bronzesmiths, etc.) for the creation of royal propaganda. Dozens of inscriptions and representations from funerary chapel reliefs and objects buried in the graves name and depict sovereigns and dignitaries, and help us to reconstruct the hierarchy and the prosopography of the Empire. --- Page 188 ---",3011,sudan-ancient-treasures-images/30115b.png,False,sudan-ancient-treasures-images/30115b.png
1,Statue of a lion,Ferruginous sandstone,SNM 24393,"1 Statue of a lion Ferruginous sandstone Basa Kushite (Meroitic), mid-first century pe Lion: H 1.575 m, W (at haunches) 520 mm, Th 1.1 m; base: H 135 mm, W510 mm,Th 1.1m SNM 24393 A lion carved from hard ferruginous sandstone sits on its haunches with its tail neatly wrapped around its left side and over its left thigh, facing forward on a rectangular base. The mane, which is indicated in low relief, terminates at the back in a knot, and between this and the ears is carved a large scarab with triple wings. There is a prominent collar around and below the face. A rectangular ‘apron’ covers the chest and upper front legs, decorated with a pectoral of seven strands of pendant beads. Above these are two cartouches 190 mm high containing text in Meroitic hieroglyphs: ‘The Lord of the Two Lands, the king ever-living Amanikhabale’. This lion, one of several found at Basa (see also cat. 2), came from the west side of the hafir where it was set on a pedestal made from two courses of red brick covered in plaster. The lion was a potent symbol of the might of the Kushite state, and is frequently associated with the ruler who sits on a lion throne and is accompanied by a lion mauling prisoners — as on the pylons of the Lion Temple at Naqa. The lion is also associated with one of the chief gods of the Kushite state, Apedemak, who is fre- quently shown as a lion-headed human figure. Apedemak was the Kushite god of war and also of fertility. In this guise his presence at a hafir is very appropriate. Hafirs were presumably con- structed by the Kushite state to provide water for the transhuming and nomadic populations of the Keraba and Butana. After the wet season, when surface water became scarce, these people would have been forced to congregate with their animals at the hafirs. The lion statues and the nearby temple will have demonstrated to them the power and might of the state, and presumably the state would have taken the opportunity to tax them at this point. = DAW Crowfoot 1911, 14-17, pl. VI, 9; Griffith 1911, 70, pls XXVI, 46, XXVII, 46 SUDAN: ANCIENT TREASURES not cease at the First Cataract, nor did it derive solely from those cultures which flour- ished in Ancient Egypt. It is hoped that Sudan: Ancient Treasures will serve to highlight Sudan's past glories, its great archaeological potential, and the superb collections of the National Museum in Khartoum.",24393,sudan-ancient-treasures-images/24393.png,True,
171,Bowl,Copper alloy,SNM 26291,"171 Bowl Copper alloy El-Hobagi. Tumulus III. HBG III/I/135 Post-Meroitic, fourth-fifth centuries ap H67mm.D117mm SNM 26291 This open bowl, of a type known to have been used for libations, is inscribed with a line of text in Meroitic hieroglyphs which includes the words for ‘king’ and *god’. The inscription is the latest Meroitic text known, and has been adduced as evidence for the survival of Meroitic culture into the fourth-fifth cen- turies Ab. Important groups of metalwork were discovered in the tumuli at el-Hobagi. These included several bronze ritual vessels which were probably used for pouring liba- tions and burning incense, JHT Lenoble et al. 1994, 60, 80, pl. 12; 1994e, 228, no. 314; Lenoble and Nigm ed-Din 1992. 634, fig. 6; Reinold 2000a, 123; Shinnie and Robertson 1993, 897; Tiradritti 1994, 13, REM 1222: Valbelle 1994, 58; Wildung 1997, 383, no. 454",26291,sudan-ancient-treasures-images/26291.png,True,
172,Bell from the trappings,Copper alloy,SNM 26302,"172 Bell from the trappings of a horse Copper alloy El-Hobagi, Tumulus III, HBG III/I/174 Post-Meroitic, fourth-fifth centuries ap H108 mm, D 106 mm SNM 26302 Among the contents of the tumuli at el- Hobagi were found parts of bovid skulls and horse trappings, including this bronze si The bell is provided with a suspension-ring and is decorated with figures of guineafowl arranged in two rows. The presence of eel items in the graves might suggest that ani- mals were sacrificed at the burial. As the excavation of the tumuli was not complete, this cannot be proved; however, the inter- ment of horses with their trappings was a characteristic element of Meroitic royal buri- als, and this bell may therefore be evidence for a continuation of this tradition into the Post-Meroitic period. JHT “ --- Page 198 --- Leclant and Cle, 1994b, 108, Phy !588, 39, pl LXIIL, fig. 80: 175-6, 193 **99d4q, 227, no, 312; fig, d,2 312; 1999b. P. 11; Reinold 3,).° Lenople et al. 1994, 63, 79.",26302,sudan-ancient-treasures-images/26302.png,True,
173,Bow],Wi,SNM 26273,"173 Bow] Wi Copper alloy “h embossed head El-Hob agi, Tu: ulus 11, BG TIW/I/48 Post-Meroiti ei fourthfiny, centuries ap H49 mm, D 12 Bie, I SNM 26273 tunities, fi bowl h the interior is a bearded m The general particular th recalls C] as no external dec- ver, soldered to the bottom of",26273,sudan-ancient-treasures-images/26273.png,True,
174,Statuette of acrocodile,Copper alloy,SNM 26311,"174 Statuette of acrocodile Copper alloy i"" ao Tumulus VI, HBG VI/I/19a ‘ost-Mcroitic, fourth-fifth centuries av H 14 mm, L 85 mm, W 26mm SNM 26311 This realistically modelled crocodile, cast by the knit Wax process, was originally attached Cs the interior of a bronze libation bowl (SNM a 5310) ornamented with floral designs and images of falcons, When the bowl was filled, the crocodile would be submerged. Its grad- ual appearance ag the liquid was poured out presumably carried a special ritual signifi- cance. The symbolic association of the croco- dile with the Egyptian god Osiris, ruler of the 174 SUDAN: ANCIENT TREASURES kingdom of the dead and guarantor of renewed life, is likely to have been of key importance in the context of the rituals in which the bow] was used. JHT Leclant and Clere 1988, 389, pl. LXIII, fig. 80; Lenoble 1994f, 231, no. 323; 1999b, 175-6, 193, fig. 16; Reinold 2000a, 126; 2003f: Wildung 1997, 388-9, no. 468 197 --- Page 199 --- 198 SUDAN: ANCIENT TREASURES GABATI DAVID EDWARDS he multi-period cemetery of Gabati lies on the east bank of the Nile, some 40 km north of Meroe. The site was discovered in 1993 by a Sudan Archaeological Research Society (SARS) survey team directed by Michael Mallinson and Laurence Smith. With the encouragement of the Sudan National Corporation for Antiquities and Museums, SARS undertook a large-scale rescue excavation during the winter of 1994-5, prior to the construction of a new highway across the site. The Post-Meroitic component of this large and well-preserved cemetery was of considerable research interest. Recent work in the Shendi Reach has greatly increased our understanding of cultural transitions at the end of the Meroitic period (third-fourth centuries AD). However, Gabati has proved very interesting in having burials of the later Post-Meroitic and early medieval period (fifth-seventh centuries ap), through the period which saw the introduction of Christianity to the region. Previously very little was known of this period in the central Sudan except from excavations of the earliest levels black stones. The majority of the tombs were con- structed with large trapezoidal shafts, with a steeply sloping entrance ‘ramp’ with wide ledges cut along the sides. The oval or semi-circular grave chambers were accessed through narrow entrances cut in the end wall of the shaft. Similar grave forms have been found at el-Hobagi, but have not yet been found elsewhere. In contrast to the earlier Meroitic burials, in which graves were frequently reopened and reused, the Post- Meroitic tombs only held a single burial. This appears to be a significant and widespread change in practice at the end of the Meroitic period. Most of the grave om were oriented along an approximately east-west axis, with the bodies in the grave chambers laid in a con- tracted position, oriented north-south, as was the en with the earlier Meroitic burials on the site. The bodies were usually laid on their right sides with the head to the south, facing east, apparently a relatively standard arrangement during this period (fig. 144). The range of artefacts found with the burials was quite extensive (cats 175-8, 314-16), although there is no particular reason to believe that the people were",26311,sudan-ancient-treasures-images/26311_originallyAttachedTo26310.png,False,sudan-ancient-treasures-images/26311_originallyAttachedTo26310.png
175,Basket,"Palm, leather",SNM 27874,"175 Basket Palm, leather Gabati, Grave 28, no. GBT2801 Medieval. late Seventh century ap He. 52 mm, Dc. 88 mm SNM 27874 A well-preserved and essentially intact basket With a tightly woven basketry core and sew, leather exterior. Unfo sible to Open and ex ketry n rtunately it was impos- amine the interior, Bas- and leatherwork Were probably widely used during this Period, although fey Pieces Survive. A few Similar examples are known from Lower Nubia.! DE 1cfr Save-Séderbergh etal. 1981, 38. Edwards 1998, 124-5, fig. 5.9",27874,sudan-ancient-treasures-images/27874.png,True,
176,Kohl Stick,Iron,SNM 27822,"176 Kohl Stick Iron Gabati, Grave 124, no. GBT] 2419 Sixth-seventh Centuries ay L163 mm, max. W (of Spoon) 14mm SNM 27822pB Rectangular sectio ned rod with ‘spoon’ end beate n out, which was associated with a kohl pot (cat. 177). It exhibits little Corrosion, DR Edwards 1998, 126-7, fig. 5.11",27822,sudan-ancient-treasures-images/27822B_27822A.png,False,sudan-ancient-treasures-images/27822B_27822A.png
177,Kohl pot,Ivory,SNM 27822,"177 Kohl pot Ivory Gabati, Grave ] 24, no. GBT12414 Post-Meroitic/Medieval, sixth-seyenth Centuries ap Base: H 85 mm, D 44~5 total H 157mm SNM 27822A mm: lid: H 82 mm, Dp 35mm: A turned ivory vessel and lid, with a slight recess in the bottom of the lid. Few such vessels 176,177 have been found in either Post-Meroitic or medieval Christian contexts in Nubia. One rare example was found in the late Post- Meroitic ( X-Group) Cemetery 193 (Grave 122, no. 15) at Qasr Ibrim, Egyptian Nubia (Mills 1982). This was found inside leather pouch, complete with and is now a purpose-made an iron spatula, in the Royal Ontario Museum, Toronto (ROM. 963.15.26a-c). L ittle ivory has bee n found in medieval contexts in Nubia although it was Probably quite abundant. DE Edwards 1998, 126-7, fig. 5.11",27822,sudan-ancient-treasures-images/27822B_27822A.png,False,sudan-ancient-treasures-images/27822B_27822A.png
179,Bowl,Silver,SNM 3165,"179 Bowl Silver Firka, Tomb A. 14, no. A. 14/16 Post-Meroitic, late fifth century ap H95 mm, D 135mm SNM 3165 One of two silver vessels found in a large Post- Meroitic tumulus burial. Both are similarly decorated with an engraved ankh surmounted by Isis horns and plumes. These seem likely to be of Egyptian manufacture, along with other fine metal and stone objects in the grave, and together with cat. 180 suggest close contacts with Byzantine Egypt. DE Hinkel and Abdelrahman 2002, 194; Kirwan 1939, 11, pl. IX.1",3165,sudan-ancient-treasures-images/3165.png,True,
180,Oil lamp and tripod,Copper alloy,SNM 3174,"180 Oil lamp and tripod Copper alloy Firka, Tomb A. 14, no, A, 14/7 Post-Mcroitic, late fifth century av H 310 mm; lamp: H (preserved) 115 mm, L 157 mm, max. W 63 mm SNM 3174 A swinging lamp hung on a column stand with tripod base, the feet of which are lion-headed. Such lamps stands are widely found in the east- ky Cae ern Roman world between the filth-seventh cpanel centuries Av and several have also been found in Post-Meroitic ‘royal’ tombs at Ballana, = DE Hinkel and Abdelrahman 2002, 194; Kirwan 1939, 11; Pérez Die 2003a 180 --- Page 203 --- THE MEDIEVAL KINGDOMS OF NUBIA JULIE R. ANDERSON hristianity was introduced into Nubia during the aia cal tury ap, long after Egypt and much of the aairaaiitelimias - ‘eat East had been evangelized. It arrived as a walkestabilighen ai P this time there were three Nubian kingdoms: Bases was - northernmost with its capital at Faras, Makuria was in the _ ie in Upper Nubia, and Alwa was upstream in the south (fig. lei aaa ru as Makuria and Alwa resided in Old Dongola! and Soba East near the some ae: two Niles, respectively. Each Nubian kingdom was evangelized nie ail the initial impetus originated in the Byzantine Empire where a geal ""eat struggle was occurring between the Dyophysite and peneprayeile ‘ an regarding the true nature of Christ.2 According to literary tradition = re ae i John of Ephesus, in the sixth century ap the Dyophysite Emperor J ustinian sacl Monophysite Empress Theodora sent rival missions from Constantinople ie a the Nubians, By threatening officials in Upper Egypt,? Theodora aru a mission led by Julian, a Coptic monk, arrived in Nobadia nee pues s aie Saries. He rapidly baptized the court. By the time Justinian’s mission arrive Nobadian court had already accepted the Monophysite doctrine.* om Little is known of the conversion of Makuria. In ap 568 John of Biclar — the Byzantine Emperor Justin II received a request from Makuria aay oa wish to live under the peace of the Roman Empire and to embrace the Chris e religion’. He later received diplomatic envoys from Makuria.° This is nn a he imply that Makuria initially followed the Dyophysite creed.° Acinetaidil a earliest ecclesiastical buildings (i.e., Building X) at Old Dongola are basilicas t . appear to have been constructed after imperial Byzantine models such as t Basilica Apostolorum,7 In Rata king officially requested that the bishop who converted the Noe dians be sent to instruct his court. After a journey made difficult by opposition from the Makurians and internal church politics, Longinus arrived in Alwa and converted the court.* Christianity swiftly swept across the Middle Nile region as the state-sanctioned religion, and by Ap 580 all the Nubian kingdoms had officially Converted to Christianity. Based upon the early dates of monasteries excavated a Old Dongola,’ it seems likely that monks played an important role in the saree oO Christianity among the local population, although the archaeological and literary sources documenting Nubian monasticism are few. --- Page 204 ---",3174,sudan-ancient-treasures-images/3174.png,True,
183,Window grille or partition,Ceramic,SNM 30304,"183 Window grille or partition screen Ceramic Old Dongola, Kom H, Monastery of the Holy Trinity, the North-western Annexe, D.15/91-2 Medieval, second half of eleventh century ap Fr. 1: H 140 mm, W 504 mm; fr. 1: H 150 mm, W 150mm, Th 50 mm SNM 30304 Terracotta grille with figural decoration of similar design on both sides, situated within a rectangular frame. The scene on one side is sculptured and painted. On the other side it is only painted in brown-red, red, black, white, yellow and pink, A figure is partly preserved on two pieces. One piece depicts the head of a Nubian warrior wearing a type of turban. The other shows part of the body with the right arm, part of the galligaskins and a fragment of a sword in a deco- rated sheath. The person is Fig. 159 Reconstruction of cat. 182. either in reclining position or sitting in a Turkish fashion with sword on the knees and the head bent forward. The grille fragments were found in rubble scattered over several rooms of the Annexe as a result of levelling made during its latest phase in the Terminal Christian period, after a serious destruction. Originally they were probably used in the upper storey of the Annexe. Fragments of at least three other grilles (or parts of neighbouring screen panels), with similar decoration differing only in ornamentation patterns, were found in the Annexe amongst numerous fragments of grilles of different designs and shapes. All were sculptured and painted in the same manner, proving that this kind of object was quite common in ecclessiastic architecture of the Late Christian Period. Ny} Jakobielski 1995a, 90, 92; Ryl-Preibisz 1997, 229-30, pls 30A, B; 2001, 381-2, pl. LXI --- Page 217 ---",30304,sudan-ancient-treasures-images/30304.png,True,
184,Oillamp,Ceramic,SNM 31261,"184 Oillamp Ceramic Old Dongola, Kom E, the “Mosaic Church’, D.75/93-4 Medieval, Late or Terminal Christian Period (thirteenth or fourteenth centuries ap) H 47 mm.L80mm, W 77 mm SNM 31261 Square pottery oil lamp on a round plain base, complete and heavily blackened by soot. Originally wheel-made, but the body was shaped by hand before firing to accomodate four wicks. The form is typical for the latest period of Christianity, SJ",31261,sudan-ancient-treasures-images/31261.png,True,
185,Starburst lamp,Schist,SNM 31358,"185 Starburst lamp Schist Old Dongola, Kom H, Monastery of the Holy Trinity, the North-western Annexe, Room 39, D.26/00 Medieval, Christian H 40mm, D 202 mm SNM 31358 An oil lamp made of schist, designed to form a twelve-petal rosette. Each of the sculptured petals was intended for use as a wick, the end of which was soaked in oil and stored in the round container in the centre of the lamp. It bears traces of an intensive use. The lamp was discovered amongst rubble and extracted from within a matrix of burnt oil that originated from another lamp. This object is unique in Nubia and is possibly an import. SJ Jakobielski 2001a, 270-71; Jakobielski and Scholz 2001, pl. LXIV,2-3",31358,sudan-ancient-treasures-images/31358.png,True,
186,"Tombstone of Petros,",Sandstone,SNM 27595,"186 Tombstone of Petros, the Eparch of Nobadia Sandstone Old Dongola, found reused in the Yard of House PCH-1, D.22/89 Medieval, av 798 H 400 mm, W 260 mm, Th 120 mm SNM 27595 185 Grave stela inscribed in Greek on a rectangu- lar grey sandstone slab. It is complete except for part of the missing bottom right corner and some superficial breaks. The surface is covered with single incised lines containing fifteen lines of the text carved within a simple",27595,sudan-ancient-treasures-images/27595.png,True,
