Book Reference No,Description,Material,Museum Reference No,Citation
143,Statue of Bes,Ceramic,SNM 31117,"143 Statue of Bes Ceramic Kawa, Site Q3, Building Al, Room IV, SF 774 Kushite (Napatan) H 450 mm, W 370 mm, max. Th 160 mm SNM 31117 Ceramic statue of a figure of which only the head, upper chest and upper left arm are pre- served. The facial features are very similar to those of cat. 142, although the eyebrows are even more prominent, with five clear almost horizontal ridges above each eye and the tongue is shown sticking out. The one surviv- ing ear is not pierced. Only the lower part of the feather headdress survives and the tip of the dagger or sword held across the chest in the right hand. This is clearly a representation of Bes and forms a pair with the Beset statue. Like Beset, the back is flat and was presumably affixed to a wall. Fragments of two other statues of the same type were recovered from this area and ongoing excavations may be expected to reveal more fragments, if not more figures. The Bes figure was recovered lying face-down on the sand which had begun to accumulate on the brick floor within Room IV of Building Al. DAW 1 Ur “I --- Page 159 --- 158 SUDAN: ANCIENT TREASURES JEBEL BARKAL TIMOTHY KENDALL ne of the most important archaeological dis- tricts in the Sudan lies on the western out- skirts of the modern river town of Kareima, about 325 km north-north-east of Khartoum. This is the site of the ancient city of Napata, whose ruins, largely unexcavated, extend in three directions around the steep sides of the small table mountain known as Jebel Barkal, which stands 2 km from the right bank of the Nile (fig. 117). The site was first noted and described by G. Wadding- ton and B. Hanbury in 1822, and by F. Cailliaud who accompanied the Egyptian army of Muhammed Ali on its invasion of the Sudan in 1820-21. It was Cailliaud who first recognized the site as Napata.! To these and the few other Western explorers of the early nineteenth century, Napata was known only from classical texts as the residence of the ruling queen of Meroe, when in 24 8c it was attacked by a Roman army. In 1862, however, an Egyptian army officer stationed there found a trove"
144,S;? -»x of Senkamanisken,Granite,SNM 1852,"144 S;? -»x of Senkamanisken Granite Jebel Barka!, Great Temple of Amun, Court B 501 Kushite (Napatan), third quarter of seventh century Bc H 883 mm, L539 mm, W 255mm SNM 1852 This statue depicts Senkamanisken, third successor of Tahargo, in the antique pharaonic form of a sphinx: a lion with human head, bearded and wearing the nemes headcloth surmounted by the double crown. The double uraeus identifies the work as Kushite. The sphinx’s forelegs terminate in human arms and hands, which hold an offering jar on which are inscribed the king's names in a double cartouche: Sekheper-en- Re Senkamenisken. Two other Kushite sphinxes of the same period have forepaws terminating in hands: that of the Kushite princess and ‘God's Wife of Amun’ Shepen- wepet II in Berlin which holds a ram-headed jar (Wildung 1997, 174-5); and the sphinx of Aspelta in Khartoum which holds an offering table. During clearing of the first court of the Great Amun Temple at Jebel Barkal in Janu- ary 1920, Reisner found this sphinx just inside the entrance, facing the temple axis. Just beside it was a small granite stand, inscribed for Atlanersa, on which rested a seated statue of Thutmose III in Heb-Sed robes (Dunham 1970, pl. IVA). The sur- rounding debris contained fragments of SUDAN: ANCIENT TREASURD many other large and small statues, including fragments of another sphinx, revealing that 4"
145,Rondel,Ceramic,SNM 31330,"145 Rondel Ceramic Jebel Barkal, Palace of Natakamani, GB 88.1 Kushite (Meroitic), first century AD D 284 mm, Th 47 mm SNM 31330 The bust of a woman depicted in Hellenistic fashion, shown en face holding a bunch of grapes in either hand, decorates the front of this turquoise, glazed terracotta disc. The rondel has been reconstructed. These plaques, and others of various shapes and colours, decorated the exterior of Natakamani’s palace at Jebel Barkal where they had been set into the wall plaster (Donodoni 1993, 102-103, 110; 1994, 56). Similar tondi were used in the decoration of the so-called ‘Royal Baths’ (M 195) at Meroe where they were set in the edge above the basin alternating with statu- ary and other plaques (Térdk 1997b, 75-7. pls 28-34). There, it has been suggested that they may have depicted Maenads, the frenzied women of the Dionysian cult, and formed part of an iconographic programme relating to the use of the baths as a water sanctuary with Dionysian characteristics as derived from the Dionysian cults of Ptolemaic Egypt (Tor6k 1997b, 76-7). The reason for the employ- ment of such a motif on the exterior of a royal palace remains uncertain; however, it may reflect the attribution of some characteristics of the god Dionysos to the Kushite ruler or his attempt to portray himself as a Dionysiac king, as was common among the Ptolemaic pharaohs, most notably Ptolemy IV (cf. Haz- zard 2000, 115-16). JRA"
146,Stela of Piankhi (Piye),Sandstone,SNM 1851,"146 Stela of Piankhi (Piye) Sandstone Kushite (Napatan) (c. 744 Bc) Jebel Barkal, Temple of Amun H (surviving) 1.3 m, W 1.23 m,Th 220 mm SNM 1851 Round-topped royal stela, carved in relief with an offering-scene and hieroglyphic inscriptions, surmounted by a religious motif --- Page 164 --- in the form of a winged sun-disc with pen- dant uraei, the workmanship being of high quality throughout, The stela is very damaged and now incomplete, with its bottom section missing and its surviving lower part much eroded, butis of great historical importance. The scene shows on the right a standing figure of King Piankhi (Piye) (747-716 Bc), identified in the cartouche above him, wear- ing the characteristic Kushite cap-crown with double uraci, facing left and offering a pec- toral and a necklace to a triad of deities (a form of the traditional Theban triad), an enthroned Amen-Ra, followed by a standing Mut and Khons, all facing right. The deities are rendered in raised relief, as was the origi- nal (taller) figure of the king, which was removed (together with his name) at some time after the completion of the stela and then later restored in incised work. The king’s prenomen and nomen were systematically removed wherever they occurred on the stela. Amen-Ra or Amun, shown in his Nubian, ram-headed form, presents to the king the crowns of Egypt and Kush, the red crown of Lower Egypt in his left hand, the Kushite cap- crown in his right (replacing here the tradi- tional white crown of Upper Egypt), signifying a unified kingship and legitimate Kushite dominion over Egypt. Divine sanction of Piankhi’s ascent to the throne is confirmed in the god’s address ‘to his son, whom he loves’. inscribed in the columns of inscription above him: ‘I said concerning you (even when you were still) in the womb of your mother, that you would be ruler of Egypt ... I caused you to receive the Great Crown ... It is I who decreed (the kingship) for you ... No other may decree (who shall be) king’. The king’s acknowledge- ment is recorded in the columns behind him, where he asserts his pre-eminence over all other rulers: Amun of Napata has caused me to be ruler of all foreign countries. To whomso- ever I say “you are chief”, he shall be chief. To whomsoever I say “You are not king”, he shall not be king. Amun in Thebes has caused me to be ruler of Egypt. To whomsoever I say “Make your appearance (as king)”, he shall make his appearance. To whomsoever I say “Do not make appearance”, he shall not make his appearance ... Gods make a king, men make a king, (But) it is Amun who has made me’. The main text of the stela is located directly beneath the offering scene. Arranged in hori- zontal lines reading right to left and down- wards, it records the king's full titulary and epithets, and once continued with a historical narrative, of which only fragments of the beginning now survive. One of these frag- ments crucially bears the remnants of what may be a year date, possibly to be read as ‘(regnal-year) 3’, in which case the stela is Piankhi's earliest known monument. Piankhi’s titulary was clearly inspired by that of one of his great imperial ‘predeces- sors’, King Thutmose III of the 18th Dynasty. as recorded on the latter’s famous victory stela from Jebel Barkal. One especially signifi- cant difference, however. is the form of the king's so-called Horus-name. In the case of Thutmose III, the name is ‘Strong Bull. Appearing (ascending to the throne) in Thebes’: in the case of Piankhi, it is ‘Strong Bull, Appearing in Napata’, a calculated change announcing ‘a momentous reversal of history ... the place of Thebes. where the Egyptian conqueror of Kush had been crowned, was now taken by Napata, where the Kushite ruler of Egypt is crowned’ (Térdk 1997a, 154). WVD Dunham 1970, 29, no. 13: Eide et al. 1994, 55-62. no. 8: Kendall 1997b, 163-4. fig. 27; Kitchen 1986, 359: Morkot 1995, 231-2; 2000, 169, 173, 179-80. fig. 79: Porter and Moss 1951, 217 (19): Priese 1972, 24-7: Reisner 1931, $2, no. 26, and $9-100, 2002, 346-7, 371 --- Page 165 ---"
147,Statuette of the god Amun,Granite,SNM 1844,"147 Statuette of the god Amun with ram head Granite Jebel Barkal, Temple B 700, Room B 704 (sanctuary) Kushite (Meroitic), third—first centuries sc H 600 mm, W 157 mm, Th 205 mm SNM 1844 This statue represents the god of Jebel Barkal as a man, wearing the royal shendyt kilt, with a bewigged ram's head. The drilled eyes were once inlaid. The round support on the head has a rectangular socket that would probably have supported a gilt copper-alloy crown of a pair of tall feathers and sun disc with uraeus. The small Amun Temple B 700 at Barkal was built so close to the mountain that it was repeatedly damaged by falls of rock from the cliff. Founded by Atlanersa in the mid-seventh century sc, the temple was completed by Senkamanisken after his predecessor’s pre- mature death. Thenceforth it seems to have served the royal mortuary cult, for the ruins contained small copper-alloy Osiride figures as well as fragments of a large false door of the deceased Atlanersa. When Reisner began clearing the ruins in March 1916, he found the second chamber (B 703) buried under huge rocks. Breaking them up, he was able to expose not only the rest of the room and the fine bark stand of Senkamanisken, now in Boston (Dunham 1970, pls XXX—XXXI), but also a tiny sanctu- ary (B 704) in its rear wall that still contained a small granite altar and a trove of statues. The main figures were this image of Amun, @ fine standing statue of Amenhotep III (ibid.. pls V-VI), and a badly decayed sandstone seated statue of a Kushite king (ibid., pl. LVI) The reused masonry of B 703 revealed that the rear of the temple had been destroyed and rebuilt in the later Napatan or Meroitic period. The small sanctuary B 704 belonged to this later phase, which meant that all the contents had been placed there after it was built, probably after the fourth century BC- The Amun statue was perhaps made as the temple's new cult image. TK Berenguer 2003f; Dunham 1970, 69, pl. LVI; Reisner 1918, 101; Wenig 1978b, 177, no. 89; Wildung 1997, 272, no. 289 147 --- Page 166 --- MEROE KRZYSZTOF GRZYMSKI eroe, the main residence of the Kushite kings, is located on the east bank of the ile, some 200 km north of Khartoum, and covers an area almost 1 km. The most impressive part of the site is a large, roughly rectangular enclosed area known as the ‘Royal City’ (fig. 121). On its west side there is a seasonal channel of the Nile, while on =| wen F tN $3; sees ——~}---—-—— ans 100m"
148,Inscribed jamb fragment,Sandstone,SNM 31192,"148 Inscribed jamb fragment Sandstone Meroe, Palace M 295 Kushite (Napatan), reign of Anlamani, c. 620-600 ec H 350mm, W 400mm, Th 170mm SNM 31192 This sandstone block, broken in two fitting parts and found lying loose on the ground in the north-east corner of building M 295, is probably part of an inscribed door jamb. It was found in 2000 by the Sudanese-Canadian team conducting a surface survey at Meroe. Along both edges of the block two double lines are incised, enclosing an inscription containing a royal name written within a cartouche. Above the cartouche but below the break are two hieroglyphs, the t signs, presumably representing the nsw-bity (king of Upper and Lower Egypt) title - the prenomen. Within the cartouche the signs Imn-in are fully preserved, and a small depression just above the break point is clearly the head of a lion - the I sign. There can be little doubt that the name should be read Imn-Inl, that is, Anlamani, but this is a little unusual as this name normally follows the Son of Ra title. Although examples of Napatan kings using two different titles for the same name are known, this has not been documented with Anlamani thus far. At the south end of M 295 Garstang apparently found a similar architectural fragment bearing the name of the fifth-century ec king Talakhamani (Térdk 1997b, 167, no. 295-1 = insc, 97, fig. 125). Although the first three signs of both royal names (Imn = Amani) are identical, others are not, and therefore Anlamani's inscription comes from a different block, unless Garstang copied the text incorrectly and misread the name. KG Anderson and Graymski 2001, 28; Graymski 2003b, 52, pl. XXIIb, fig. lla"
149,Tuyére and iron slag,"Ceramic, iron",SNM 31193,"149 Tuyére and iron slag Ceramic, iron Meroe, Trench N80 6 (6) Kushite (Meroitic) Tuyére: L270 mm, W 60-70 mm; hole: D 25 mm SNM 31193 A typical Meroitic iron-smelting furnace consisted of a smelting chamber and six clay bowl bellows probably covered with diaphragms of animal skin or leather. Bellow nozzles, or tuyéres, were used to force air into the chamber. They were cigar-shaped, hol- lowed inside, and tapered at both ends. They were made of the Nile silt formed round a wooden rod (Tylecote 1982, 30-32). During heating some of the slag remained on the bottom of the furnace, but most of the liquid slag was tapped away through the tap-hole. --- Page 170 --- Often solidified lumps of slag remained attached to the tuyére, as with the present example. Analysis of the iron contents in the ore and in slag suggests a yield of about 20 per cent of the iron in the ore (Tylecote 1982, 40). The presence of mounds of iron slag visible at Meroe and the nearby sites of Hamadab (Wolf 2002a, 93; 2002b, 109-10) and el-Hassa (Lenoble and Rondot 2003) suggests that this was an important indus- trial centre of the Kushite Meroitic kingdom. Iron used in the smelting presumably came from the sedimentary deposit of the ferrugi- nous sandstone common in this area. Remains of iron furnaces were excavated by Shinnie at Meroe (Shinnie and Kense 1982; Tylecote 1982),! enabling the reconstruction of the iron-smelting process. KG"
150,Kaemblem,Faience,SNM 626,"150 Kaemblem Faience Meroe, Palace M 294 Kushite (Napatan), c. 590-560 Bc L80 mm, W 93 mm, Th 18 mm SNM 626 This faience tablet was found together with fragments of two other similar plaques and many other artefacts in a cachette containing discarded objects of religious significance 150, nomen (Térdék 1997b, 154, 157, pl. 118), The small rectangular plaque, broken off at one corner, is decorated on both sides by a pair of arms that form a ka sign. The ka was a kind of life force, a person's double that was born with them, but survived after death and could receive offerings for the deceased. Each side of the plaque bears an inscription giving the prenomen and nomen of King Aspelta (c. 593-568 nc): ‘King of Upper and Lower Egypt, Merikara, may he live forever’ and ‘Son of Ra’, Aspelta, may he live forever’ (Nagy 1997, 240, insc. 67a, fig. 123). The function of the object is uncertain and its pos- sible funerary meaning may suggest that it actually post-dates the reign of Aspelta. A similarly decorated but smaller and unin- scribed faience object from Sakkara was published as an amulet (Reisner 1907, 158, no. 12260, pl. XX). It is possible that the Meroe piece served as a pectoral, a decorative chest ornament, like the ones known from various Egyptian sites.! KG Berenguer 2003m"
151,Stone block with footprints,Sandstone,SNM 31194,"151 Stone block with footprints Sandstone Meroe, Temple M 720, no. 5744 Kushite (Meroitic) L190 mm, W 160 mm, Th 60 mm SNM 31194 Flat, brick-like block of red sandstone with yellow upper and lower surface, and chisel SUDAN: ANCIENT TREASURES marks visible on the bottom. Two narrow."
154,Meroitic inscription,Granite,SNM 31401,"154 Meroitic inscription Granite Amun Temple, Courtyard M 271 L172 mm. W 107 mm, Th 19 mm Kushite (Meroitic), probably reign of Amanishakheto (10-1 bc) SNM 31401 This small fragment of a Meroitic inscription was found at Meroe by the Liverpool expedi- tion. The stone is grey granite, the same mater- ial that was used for writing a long but partly broken inscription of Queen Amanishakheto found by Garstang in the courtyard of the Temple of Amun (Garstang 191la, 47). Numerous broken fragments from the same inscription have been found and studied by various explorers, including Hintze (1959, 175), Haycock and Shinnie (Shinnie and Bradley 1980, 91), but the entire text was pub- lished only recently by C. Rilly (2002), There can be little doubt that the present fragment Was part of the same inscription, the so-called ‘obelisk’ of Amanishakheto (SNM 30175). although it is given a separate number in the catalogue of Meroitic inscriptions compiled by French scholars, namely REM 1254C-4, the main block bearing the number REM 1361A-D. Thanks to the work of E Ll. Griffith in the early twentieth century, who established the phonetic values of the signs, it is possible to read Meroitic texts. The meaning of the words, however, still eludes us. The present fragment reads as follows: lok. wldeyi ORR, KG Rilly 2002. 137, ig. 185, 10. 4 (REM 1254-4): Térdk 1997b, 126, pl.97 171 --- Page 173 --- ~ “er 17 SUDAN: ANCIENT TREASURES"
155,Greek inscription of aking,Ferricrete sandstone,SNM 508,"155 Greek inscription of aking of Aksum Ferricrete sandstone Meroe, Royal City Third or fourth century ap L328 mm, W 221 mm, Th 139 mm SNM 508 This inscription was brought in by a villager during the first season of J. Garstang’s excava- tions of the Royal City at Meroe. It is carved on a block of ferricrete sandstone and exhibits the remains of fourteen lines of Greek text, inscribed to a depth of 1 mm. It was first published by A.H. Sayce (1909) and has since been republished and reinterpreted several times.! Due to its fragmentary state of preservation, only a few facts are firmly established. The stone is part of a throne, a triumphal monument set up in Meroe by a ‘king of Aksum and Himyar’ (line 1) to mark his victory over the Kushites and the occupa- tion of their capital. Similar inscribed thrones set up by Aksumite rulers recording their victorious campaigns are known from Ethiopia. In line 2, the Aksumite war god Mahrem is referred to by his Greek name Ares. Mention is made of pillaging (line 4) and hostages (line 9). We hear about another king, presumably the king of Kush (line 7), and about a tribute imposed on the defeated Kushites (line 12). The figure in line 14 prob- ably indicates the regnal year of the king. It is uncertain whether the king who set up the throne is identical with the famous King Ezana, dating to before his conversion to Christianity (mid-fourth century), or if it was one of his predecessors. The following is a tentative translation of the text:"
156,Elephant head lamp,Copper alloy,SNM 1947,"156 Elephant head lamp Copper alloy Meroe, West Cemetery, Tomb W. 102 First-second century Ap Total H 65 mm, W (across wick holes) 180 mm SNM 1947 This copper-alloy lamp is decorated with two opposed elephant heads, which project from the body of the lamp with their trunks uplifted. The moulded details of eyes and wrinkles are all well observed; their oval ears with beaded rims are more stylistic. The body of the lamp is circular with lathe-turned e ridges on the base. The nozzles ae ane decoration on the underside with eS tol holes surrounded at the outer ~~ “d stand and-reel decorated rim, supporte' y sil of vertical egg-and-dart paneer ad flank the nozzles. The discus is circ anos dished with shallow concentric _ ged trefoil holes, regularly spaced, am “a around the upstanding tubular a= Parallels, such as an ae pone Castellani Collection in the Britis’ es (GR 1873.9-20.160), suggest that i jan manufacture. ° pene of representations of esl at Musawwarat es-Sufra and other si et gests that the elephant played = one part in the ceremonial and daily "" e ae region. This lamp, therefore, iad aw be more significance to its Kushite own ots could have been anticipated by the ms smith who made it. rb 201; Dunham 1963, 192, fig. 138d; Tordk 1989, no Wenig 1978b, 94, fig. 77 --- Page 174 --- Eee! LS SUDAN: ANCIENT TREASURES"
157,Porringer,Silver,SNM 1827,"157 Porringer Silver Meroe, Beg. N. 18,'Tomb of Queen Amanikhatashan First-second century ap H (at handle) 53 mm; rim: internal D126 mm SNM 1827 This is a very fine, straight-sided, lathe- turned silver vessel. The sides are decorated with moulded, wavy, ridge and groove motifs which run vertically from an incised line at the base to a groove just below the rolled rim. The inner surface is plain with a single deep groove running 4 mm below the rim. Two opposed flat, gilded handles project from the rim where they have been soldered into posi- tion. Each handle has a central panel which was decorated with a raised motif of ribboned vegetation; scrolls projecting on either side of this panel have stamped dots arranged as stylized flowers. The handle attachments terminate in birds’ heads, possibly ducks or geese, with gilded beaks and eyes. Below each handle is an oval, penannular ring, whose open ends point towards the vessel. The base has a foot-ring containing two concentric grooves; two smaller grooves surround the lathe scar. On either side of the smaller circles are scratched Meroitic owners’ marks, one depicting an acanthus leaf on a shield atop a sacrificial stand. 158 The porringer is of Italian manufacture and belongs to a common first-century ap type, but the angular profile and the low foot- ring may suggest that it is a second-century variant. Without exact dating evidence in the form of coins or scientific dating methods there will always be difficulties in being pre- cise as to the date of individual tombs such as that of Queen Amanikhatashan (currently dated to AD 62-85); however, as further information emerges from comparative sites regarding the possible dates of the objects found in the tombs, we are slowly edging towards a clearer understanding of the chronology. LAJ Dunham 1957, 149, pls LIV/A, B; Térék 1972, no. 3: 1989, no. 198"
158,Skillet handle,Copper alloy,SNM 1825,"158 Skillet handle Copper alloy Meroe, Beg. N. 18. Tomb of Queen Amanikhatashan Second century ap L157 mm, D (of shaft) 23 mm SNM 1825 This copper-alloy, tubular skillet handle has deep longitudinal fluting. At one end, the ter- minal in the form of a three-dimensional ram’s head emerges from a double collar. The fea- tures, details of the horns and the curly hair on the back of its head have been incised after moulding. The opposing end also emerges from a double collar and is shaped into a flared. curved plate, the rim of which would have clipped onto the rim of the skillet while the two wings, shaped like stylized griffins’ heads. lay against the walls of the skillet. Ram's head skillets were produced in Italy in the first century ap, but the numbers found in the north-west provinces of the Roman Empire suggest that copies were manufac- tured elsewhere at a slightly later date. At least six similar handles were found during the excavations at Meroe. but none of the associated, very distinctive. skillets. This may suggest that the handles were valued because of the rams’ head terminals. LAJ Dunham 1957, 151, fig. 97: T6rdk 1989, no, 196 173 --- Page 175 --- KUSHITE RELIGION: ASPECTS OF THE BERLIN EXCAVATIONS AT NAGA DIETRICH WILDUNG heological concepts and religious beliefs can be reflected in pictures, but first of all they find their adequate expression in texts. The ape elements of a history of ancient Egyptian religion are the Pyramid Texts, the Coffin Texts, the Book of the Dead, the hymns and prayers, and the mythological papyri. Without this textual evidence the meaning of the papyrus vignettes, the tomb paintings and temple reliefs would remain ambiguous and cr ptic. A history of Meroitic a is faced with a language problem. Although the phonetic values of Meroitic hieroglyphs and cursive signs are known, the seman- tics of Meroitic are still one of the last problems for linguists. Except for the ames of divinities and some ritual formulae, Meroitic inscriptions do not Sens their content. In consequence, textual evidence cannot help us much in outlining the Structure of the religion of ancient Meroe: it is the language of art that all the more has to assume the essential role of communicating their religious ideas to us. Funerary beliefs and practices find their highly detailed expression in the reliefs on the offering chapels of the pyramids at Begrawiya (Meroe) and Jebel Barkal, and in their offering plates and stelae. The influence of Egyptian funerary a | 5 Te, --- Page 176 ---"
159,Bark stand,Sandstone,SNM 31331,"159 Bark stand Sandstone Naga, Temple of Amun, sanctuary, no. 104/1 Kushite (Meroitic), first century ap, reign of King Natakamani and Queen Amanitore H 1.323 m, W855 mm, Th 860 mm SNM 31331 The bark stand survived undamaged in its original position in the sanctuary of the Temple of Amun at Naga. Its shape, propor- tions and dimensions are almost identical to three altars of King Natakamani and Queen Amanitore found by Richard Lepsius in 1844 in the ruins of a temple at Wad ban Naqa.! Under the cavetto cornice, the four sides of the altar are decorated in relief. The front side shows the falcon-headed Horus (left) and the ibis-headed Thoth (right) binding papyrus plants around the central hieroglyphic emblem ‘sema’. Above this sign two car- touches are placed, crowned by a sun disc and double ostrich feather. The left (north- ern) cartouche contains the name of King Natakamani, while the right (southern) one the name of Queen Amanitore. Both are written in Meroitic hieroglyphs. The hieroglyphic texts in the horizontal lines above the gods try to imitate Egyptian texts: ‘The lord of the eight, the lord of the divine word, given life’ and ‘The lord of Behedet, the great god, given life’ are familiar epithets of Thoth of Hermopolis and Horus of Edfu; but both texts are nothing but a poor graphic imitation of an original written in Egyptian. This original, an altar of King Atlanersa who lived 650 years before the erection of the Temple of Amun at Naga,? stood in Temple B700 at Jebel Barkal. The same motif is repeated on the rear of the altar (Wildung and Kroeper 2003), this time with Horus on the right and Thoth on the left side; the orientation of the cartouches follows the pattern of the front side with the king to the north and the queen to the south. Reliefs on the right and left sides of the bark stand are divided into two registers. Below, two Nile gods are binding the papyrus plants around the sema with the queen's second — Egyptian — name Meri-ka-ra on the south and the king's second — Egyptian — cartouche Kheper-ka-ra on the north. Above, on both sides, three kneeling male figures with raised arm, jackal-headed and falcon- headed, with the same Egyptian hieroglyphic text ‘the souls of Pe', are preceded by a kneeling figure of the king and the goddess Meret. This decoration is the standard iconog- raphy of bark stands in Egyptian temples since the New Kingdom. Egyptian iconography has become an expression of Kushite royal ideology: the uni- fication of Upper and Lower Egypt, symbol- ized by the sema motif (cf. motif on cat. 76), is the emblematic sign of political and cosmic order under the control of Kushite kingship. A close parallel to this decoration can be found on the altar in the Great Temple of SUDAN: ANCIENT TREASURES Amun in Meroe (M 260). In perfectly cut relief of a strong three-dimensional effect. these figures show a stylistic modification of the Egyptian prototype into a clearly Meroitic artistic expression with heavy limbs and coarse proportions. The Egyptian and the Meroitic elements merge in an artistic cre- ation in its own right. DW"
160,Glazed leopard tile,Faience,SNM 28045,"160 Glazed leopard tile Faience Naga, interior of the Temple of Apedemak (Lion Temple), near shrine, excay. no. 301/2 Kushite (Meroitic), first century ap H 100mm. W 80 mm.Th 15mm SNM 28045 Found near the Pedestal of the shrine inside be Temple of Apedemak (the Lion Temple), this tile may have been an inlay of the wooden naos. The border with its dotted line most probably surrounded the tile on all four sides, The pattern of the leopard’s hide, yellowish against the turquoise background, is indicated by impressed round dots. The tail follows the contour of the left hind leg. The upright Position of the seated animal is full of visible tension — qa master] Y representation of the feline body as a symbol of royal power. DW 997, pl. XLIX, fig. 67; Wildung 3: 1998, 184, pl. IIb; 1999, 46 Leclant and Clerc } 1997, 362, no. 43 and 49, fig. 44"
161,Plaque bearing the name,Faience,SNM 31335,"161 Plaque bearing the name of Queen Amanitore Faience Naga, Temple of Amun, Room 107, ¢ ihe 7, excay. no, Kushite (Meroitic), first century ap H45 mm. W 40 mm, Th 6mm SNM 31335 The upper part of this thin rectangular faience plaque has two round holes at its corners — apparently for fixing or stitching it to a sup- Port. The border is decorated with a braiding of oval dots in low relief. The vertical inscription inside this frame is written in Egyptian hiero- glyphs and reads ‘the daughter of Isis, Meri- {ka-]Ra’. The name, encircled by a cartouche, is the throne-name of Queen Amanitore. Kushite kings, queens and princes some- times added to their personal name an Egypt- ian name, taken from the list of the pharaohs of the past. Thus, King Natakamani in his Egyptian name Kheper-ka-Ra hearkens back to Nektanebo I (380-362 sc) or to Senwosret"
162,Stela,Sandstone,SNM 27499,"162 Stela Sandstone Naga, Temple of Apedemak (Lion Temple), excav. no. 301/4 Kushite (Meroitic), first century ap H112 mm, W 104 mm,Th 18 mm SNM 27499 This fragment belongs to a small stela originally representing three figures. The woman on the right wears a short curled wig and a diadem with two uraei, crowned by the white and red crown. On her head a part of the claw of a falcon is preserved, enough to reconstruct the headdress typical for Apedemak's consort, the goddess Amesemi (cat, 163), a double falcon on a crescent. A garment with fringed sleeves, a broad collar and a bracelet complete her cos- tume. Her raised left hand presents the ankh sign to a person facing her; only the right hand of this figure is preserved. The extremely long fingernails of both persons are character- istic of women; therefore the figure on the left of the fragment mus: ve a queen. The ankh sign in the uppermost left corner of the frag- ment is attached to a curved line descending from above, most probably from a sceptre held over the queen by another figure on the extreme left, a god. The symmetrical composi- tion showed the queen between Amesemi and Apedemak. A stela found in the sanctuary of the Amun Temple at Naga (Carrier 2000 (REM 1293), 5-6, 26-7, figs 17-19) presents the same arrangement. On the reverse, seven lines of a cursive Meroitic inscription mention a name ‘Aman{...]', either Amanitore or Amanishakheto (cat. 163), and the epithet ‘the good one in heaven’. DW Carrier 1999, 3 (REM 1238), 19, fig. 13; Priese 1997b, 263, no. 285; 1998, 217, 219, pl. ; Wildung 1998, 184; 1999, 48, fig. 41"
163,Stela of Queen Amanishakheto,Sandstone,SNM 31338,"163 Stela of Queen Amanishakheto and the goddess Amesemi Sandstone Naga, Temple of Amun, Hypostyle (101), excav. no. 101/19 Kushite (Meroitic), late first century bc H255 mm, W 140mm SNM 31338 The front of this round-topped small stela, found between the fallen columns of the hypostyle hall in the Temple of Amun at Naga, is decorated in sunk relief of high tech- nical and artistic quality. Under the winged 162 --- Page 182 --- sun-dise !:)ing the upper fourth of the stela, two fernzle figures are represented facing each other. Both are wearing a close-fitting dress descending to the feet, a fringed scarf over the right shoulder, a broad collar and a round curled wig. Otherwise they are repre- sented in very different ways. The left figure has a slim, elegant body; the dress shows a fine pattern of diagonal stripes and dotted lines. A chin-band, an earring, an orna- mented diadem with uraeus and a crown consisting of a pair of falcons with sun-discs sitting on a crescent contrast with the pleated dress and the simple diadem of the extremely corpulent woman on the right. The inscriptions in Meroitic hieroglyphs identify the left figure as Amesemi, the divine consort of the lion god Apedemak (the first complete reference to this name) and the figure to the right as Amanishakheto (with- "" AAA PARD PENA 163: front out cartouche), the well-known Meroitic queen buried in Pyramid N.6 at Begrawiya. The goddess plays the active part: her right hand supports the elbow of the queen's right arm, raised in adoration of Amesemi; her left arm passes behind the queen, the left hand supports the neck of the queen, and a dotted line, starting at the tip of the forefinger, sur- rounds the head of the queen to her forehead. A chain consisting of tiny ankh signs extends from Amesemi's nose to the nose of Aman- ishakheto. This animation by the divine breath is illustrated in a similar way in the reliefs of the Lion Temple at Naga. The rear and the sides of the stela have fifteen lines of text in cursive Meroitic, topped on the rear by a line in Egyptian hieroglyphs without specific meaning. In his still unpub- lished analysis of the Meroitic text Claude Rilly (letter of 8 September 2000) states the SUDAN: ANCIENT TREASURES ‘feeling of frustration’ of the philologist in front of such a well-preserved inscription, but he succeeds at least in defining the character of the text as a religious hymn. Not only does the text keep its secret. but an important historical question also remains open: why and how was a stela of Queen Amanishakheto, dated about sixty years before Natakamani and Amanitore, donated to the Temple of Amun at Naga, a structure not yet in existence during the lifetime of this queen? Do we have to rethink the sequence of Meroitic rulers? DW Carrier 2000, 6 (REM 1294) 7, 28-30, figs 20-23; Leclant and Minault-Gout 2000, pl. XXXII, no. 29: Wildung 2001, 150-51. fig. 15; 2002. fig. 10; Wildung and Kroeper 2003, 33, fig. + OGIO oh . Tae eC 181 --- Page 183 --- SUDAN? ANCIENT TREASURES 164a-c"
