Book Reference No,Description,Material,Museum Reference No,Citation
192,THREE AMULETS,"Gold; H. 1.2 cm, W. 0.7 cm, Th. 0.3 cm","Khartoum, National Museum 2229","192 THREE AMULETS

Gold; H. 1.2 cm, W. 0.7 cm, Th. 0.3 cm
From Meroe, Western Cemetery, Tomb Beg. W 832

Harvard University-MFA Boston Expedition, 1923, field
no, 23-H-629

Twenty-fifth Dynasty, 700-650 8.c.
Khartoum, National Museum 2229

The production technique of these

gold wire twin figures resembles that
of the Horus child in cat. 188.

Lit: ACK V, 25f,, fig. 18h

--- Page 194 ---
NAPA’ 4 AND THE KUSHITE DYNASTY
"
195,NecKuace,Gold; L 35.9 cm and 34.2 cm,"Khartoum, National Museum 224]","195 NecKuace

_

Gold; L 35.9 cm and 34.2 cm

From Heroe, Western Cemetery, Tomb Beg. W 609
Harvard University-MFA Boston Expedition, 1923,
field no, 23-H-151-4 and 23-H-157-8
Twenty-fifth Dynasty, 700-660 ..

Khartoum, National Museum 224]

About 750 small gold beads make up
these two necklace strings. They were
found in the tomb of a woman, in the
vicinity of her head.

Lit: ACK Y, 38

KINGS OF
"
222,STATUE OF KING TANUTAMANI,"Granite; H. 205.5 cm, W. of base, 46 cm,","Khartoum, National Museum 1846","222 STATUE OF KING TANUTAMANI

Granite; H. 205.5 cm, W. of base, 46 cm,
W. of shoulders 59 cm, Th, 83.7 cm

From Gebel Barkal, north of the first pylon of
B 500, fragments also in B 905

Harvard University—MFA Boston Expedition,
April 1916, field no. 16-4-31

Twenty-fifth Dynasty, 664-655 B.c.
Khartoum, National Museum 1846

North of the first pylon of the Great
Amun Temple at Gebel Barkal, a statue
cache was excavated, producing many
discarded Statues that had once
belonged to the temple's inventory.
Among them was this very dynamic
image of King Tanutamani, broken into
several fragments and _ still headless
today. In its formal composition, the
piece follows the traditional Egyptian
Pattern of the Standing/striding figure,
combining repose and movement or,
as Thomas Mann so masterfully put it,
“stationary in motion, and mobile in
Stasis,”

Stylistically, the statue is an excellent
€xample of Kushite art, with its wide
shoulders and muscular modeling in
the long legs. The iconography also
displays Kushite elements, such as the
three ram's heads (later removed)
hanging from a cord around the neck.
Gilding was originally added to the
unpolished surface areas of the
bracelet and sandals, The Egyptian
inscriptions on the base and back pillar
name Tanutamani, “beloved of Amun

of Napata,” the last Kushite ruler to
rule over Egypt,

Lit: PH Vil: 2215 Reisner, JEA 6 (1920): 151, 253; idem,
ZAS 66 (1931): 82, no, 32-33; Dunham—Hacadam,

JEA 35 (1949): 147, pl. XV176c; D. Dunham, The Barkal
Temples (Boston, 1970), 17, 21, fig. 8, pl. XI

197

--- Page 203 ---
23

223

198

224

--- Page 204 ---
NAPASA AND THE KUSHITE DYNASTY

223 RAM’S HEAD AMULET

Gold; H. 4.2 cm, W. 3.6 cm, Weight 65 g

Provenance not known; formerly in

the Tigrane Pasha collection

Gift of The Norbert Schimmel Trust, 1989
Twenty-fifth Dynasty, c. 650 8.

New York, The Hetropolitan Museum of Art
1989.281.98

The iconography of the Kushite royal
statues provides the context for this
typically Kushite form of amulet. The
ram’‘s head was worn at the breast,
hanging from a cord around the neck.
In this example, it is noteworthy that
the sun on top of the uraeus serpent is
not a disk but a globe.

Lit.: Daninos Pasha, Collection d'antiquités épyptiennes de
Tigrane Pacha d'Abro (Paris, 1911), 18, no. 454, pl. XLIX;
Settgast, catalogue Von Troja bis Amarna: The Norbert
Schimmel Collection (Mainz, 1978), no, 252. On the jewelry
motif, cf. E. Russmann, The Representation of the King in the
XXVth Dynasty (Brussels, 1974), 25-27

224 RAM’S HEAD AMULET

Gold; H. 1.7 cm, W. 1.45 cm, Th, 0.6 cm

From Heroe, western cemetery, Tomb Beg. W 486
Harvard University-MFA Boston Expedition,
March 1923, field no, 23-3-117

Twenty-fifth Dynasty, 700-650 8..

Khartoum, National Huseum 2247

Since it comes from a secure archaeo-
logical context, this amulet provides
the dating for the stylistically similar
golden ram's head in cat. 223.

Lit.: RCK Y, l4f,, fig. 11k, |

225

199

--- Page 205 ---"
230,SPHINX OF KING SENKAMANISKEN,"Gray granite; H. 53.9 cm, W. 25.5 cm, L 88.3 cm","Khartoum, National Museum 1852","230 SPHINX OF KING SENKAMANISKEN

Gray granite; H. 53.9 cm, W. 25.5 cm, L 88.3 cm
From Gebel Barkal, Temple B 500 (Ist court B SOI)
Harvard University-HFA Boston Expedition,

January 1920, field no. 20-1-274

Napatan, 643-623 ac.

Khartoum, National Museum 1852

The classic sphinx form, consisting of a
lion’s body with human head and royal
headdress, is foreign to the art of
Napata. There the preference is for the
variant with a mane (attested several
times for Tahargo), or a sphinx with
human arms and hands, as we have
seen above on the sphinx of
Shepenwepet (cat. 168). The sphinx of
Senkamanisken, discovered in the stat-
ue cache of the great Amun Temple,
wears the royal headdress with double
uraeus and surmounted by the Double
Crown. The latter has lost its original
significance as a crown of Upper and
Lower Egypt, becoming a symbol of
royal dignity.

The transition from the front paws of a
lion to human arms seems to occur at
the elbows. The boldly stylized muscu-
lature of the upper arms is apparently
still part of the lion; similar deep
grooves indicating muscles are visible
On the hind legs.

In its human hands the sphinx holds a
Conical vessel inscribed with the ruler’s
names in cartouches. As with the
standing statue of King Senkama-
nisken (cat. 229), the face here is
uNcompromisingly “African.”

Lit: PH Vil: 216; Reisner, ZAS 66 (1931): 82, no. 41;
Dunham, Barkal Temples, 33, no. 18, fig. 28, pls. IV,
XXXILA-C; Wenig, catalogue Aid Il, 175, no, 86

—_——-— —.

Se ee ee ey

220

--- Page 224 ---


--- Page 225 ---
-

a hn
"
231,StaTUE OF QUEEN AMANIMALEL,"Granite; H. 141 cm, W. 50 om, Th. 48 cm","Khartoum, National Museum 1843","231 StaTUE OF QUEEN AMANIMALEL

Granite; H. 141 cm, W. 50 om, Th. 48 cm

From Gebel Barkal, Temple B 500, trench A

Harvard University—HFA Boston Expedition, April 1916,
field no. 16-4-26

Napatan, 643-623 8.

Khartoum, National Museum 1843

This just under life-size statue of the
wife of King Senkamanisken is one of
the great artistic masterpieces of the
kingdom of Napata. It absorbs an
ancient Egyptian statue type and inte-
grates it completely into an original
stylistic concept; one might consider by
way of analogy the relationship of a
Greek kuros to its formal predecessor
in the Egyptian striding figure.

The slightly striding pose of the left
foot, the upraised left hand under the
breast, and the right arm hugging the
body are all formal elements of grace-
ful female statuary of the New
Kingdom. They are adopted and
extended in the images of so-called
divine votaresses of the Twenty-fifth
Dynasty. This type forms the frame-
work of Amanimalel’s statue, around
which the corpulent volumes of the
figure are developed. The full thighs
and hips, the firm breasts above the
very high waist, and two delineated
folds gently hinting at stomach model-
ing all appear naked, but are actually
wrapped in a close-fitting garment.
The seam, drawn and partially red,
runs from the left shoulder under the
right armpit, leaving the right breast
free, and is also visible over the feet
and wrists. A vertical line from the left
foot over the leg to the left breast indi-
cates the garment's fringe.

The rough state of the surface does
not indicate an unfinished condition,
but rather serves as a coarse base for
the addition of a colorful layer, proba-

THE KINGDOM OF

bly of silver. This is revealed by the fact
that the body parts not covered by the
dress—the hands and feet—do indeed
show a finely polished surface. The
sandal straps were probably gilded.

In her left hand Amanimalel holds a
small seated figure of a child with
Double Crown and sidelock, most like-
ly representing Harpocrates, or “Horus
the child.” In her right hand she holds
an aegis with a menit. The queen is
designated on the back pillar as
“beloved of Amun of Napata, who
resides in the sacred mountain.” An
artistic vision of womanhood personi-
fied, which began with the idols of the
Neolithic and was developed further in
the clay figurines of the A-Group and
C-Group, reaches it culmination in this
statue of the fullest maturity.

Lit: PH Vil: 221; Reisner, JEA 6 (1920): 253, pl. XXXIII; idem,
TAS 66 (1931): 82, no. 46; Dunham and Macadam, JEA 35

(1949): 142, pl. XV, 8; Dunham, Barkal Temples, 2If., fig. 12,
pl. I, XVIl, XVIII

222

NAPATA AND NEROE

232—241 TEN swagris OF KING SENKAMANISKEN

Faience; H. 17.7-19.7 cm,W. 53-60 om, Th. 3.0-4.3 cm
From Nuri, Pyramid Nu 3

Harvard University-MFA Boston Expedition,

February 1917

Napatan, 643-623 6.¢.

Boston, Museum of Fine Arts 21.2713—21.2722

With 1,277 shabtis, King Senkama-
nisken exceeded by far the number of
shabtis placed not far from his pyramid
in the tomb of his grandfather Tahargo
(cats. 201-220). In size and quality,
however, they must take second place
behind the large-format examples in
different stones prepared by the earlier
king. One of the five groups of
Senkamanisken’s shabtis, each of
which differs in material and iconogra-
phy, is made of light green faience and
lacks all royal attributes. The tripartite
wig is not only the standard hairstyle
for shabtis, but for the deceased in
general.

231 >

232/241 > >

Lit Reisner, Bull. MFA XVI/97 (1918): 73; idem, Harvard
African Studies \, Varia Africana \I (Cambridge, Mass., 1918),
48ff,, pl. , 3; Dunham, ACK Il (Boston, 1955), 43, fig. 29,

pl. CXL; Kendall, Kush: Lost Kingdom of the Nile

(Brockton, Mass. 1981), 33-36

--- Page 226 ---


--- Page 227 ---
NAPATA AND

0 F

=
oOo
a
oOo
=
=<

THE

--- Page 228 ---
NAPATA AND MEROE

KI; GDOM OF

THE

See _

wn
N
N

--- Page 229 ---
242-251 Ten suagris oF KING SENKAMANISKEN

Serpentine; H. 15.3—20 cm, W. 5.0-1.9 cm,
Th. 3.6—5.1 cm

From Nuri, Pyramid Nu 3

Harvard University—HFA Boston Expedition,
February 1917

Napatan, 643-623 a.c.

Boston, Museum of Fine Arts 21.3029, 21.3032,
21.3034, 21.3035, 21.3037, 21.3038, 21.3039,
21.3043, 1.11751, 21.11752

The second group of shabtis of
Senkamanisken portrays him with royal
headgear. Over the brow is the double
uraeus protruding from the headcloth.
The serpentine stone used is also a
material worthy of royalty. While
Egyptian shabtis very rarely bear indi-
vidual facial features, the faces of both
Tahargo’s and Senkamanisken’s shabtis
are clearly individually distinct.

Lit: as cat. 232-24]

44 242/251
"
252,Knire,"Gold; L 18.5 cm, W. 2.6 cm, Th. 0.05 cm","Khartoum, National Museum 1351","252 Knire

————_———

Gold; L 18.5 cm, W. 2.6 cm, Th. 0.05 cm
From Nuri, Pyramid Nu 21, staircase to
the burial chamber

Harvard University—MFA Boston Expedition,
January 1917, field no. 17-1-556
Napatan, ¢. 600 b,c.

Khartoum, National Museum 1351

This heavy gold knife comes from the
tomb of a queen of Senkamanisken. It
may have been utilized for the opening
of the mouth ritual during the funeral.

Lit: RCK II, 64f,, 279, pl. CXYIILD

252

THE

KINGDOM OF

226

NAPATA AND HREROE

CYLINDER SHEATHS

In nine royal tombs at Nuri the excava-
tors found cylinder sheaths of precious
metals whose function remains a mys-
tery. In Aspelta’s tomb alone fifteen
examples were unearthed. One sheath
was found at Meroe (Beg. S 85).

The sheaths are assembled from two
pieces: a lower cylinder, sealed at the
base with a round disk, and a shorter
open cylinder placed over an internal
sleeve on the lower piece. On the gild-
ed silver sheet there is sometimes addi-
tional decoration in applied gilded,
silver, or gold wire, or granulated gold
bands; inlays in semi-precious stones
are attested in one example (cat. 258).
The wide range of quality reveals that
a variety of goldsmiths, certainly local,
were at work here. The rich icono-
graphic variations are chased and

sometimes modeled by repoussé.
S.G.

Lit: Gansicke, Journal HFA 6, (1994), 14-40; Gansicke and
Newman in T. Drayman-Weisser (ed) Gilded Metal Surfaces
(forthcoming)

--- Page 230 ---
THE KINGDOM OF NAPATA AND MEROE

Saas

——

Sra
EES

CEO PONCE Or >

so ewe oe WEIRITTND TS
- Eas

iS
\ VES
—
ere =F

227


--- Page 231 ---"
256,CYLINDER SHEATH OF KING ASPELTA,"Gold; H. 7.5 cm, Diam. 2.9 cm","Khartoum, National Museum 1372/1373","256 CYLINDER SHEATH OF KING ASPELTA

Gold; H. 7.5 cm, Diam. 2.9 cm

From Nuri, Pyramid Nu 8, Chamber A

Harvard University-MFA Boston Expedition,

April 1916, field no. 16-4-70i (Dunham: 16-4-70g)
Napatan, 593-568 B.C.

Khartoum, National Museum 1372/1373

(Dunham: 1371)

Only the lower cylinder is exhibited.
The goddess Hathor stands with
winged arms between the vulture and
serpent on the heraldic plants of Upper
and Lower Egypt.

Lit.: Reisner, Bull MFA XV/89 (1917); 32f,, fig. 13; RCK UI,
78f., 277, pls. XCIILA, CIl.A

AND MEROE

257

229
"
259,Two TWEEZERS OF KING ASPELTA,"Gold; L 16.3/15.5 cm, W. 3.5/3.2 cm","Khartoum, National Museum 1867","259 Two TWEEZERS OF KING ASPELTA

Gold; L 16.3/15.5 cm, W. 3.5/3.2 cm
From Nuri, Pyramid Nu 8, Chamber B
Harvard University—MFA Boston Expedition,
March 1918, field no. 18-3-303

Napatan, 593-568 .c.

Khartoum, National Museum 1867

The joining segments of the two pin-
cers are fashioned into papyrus
umbels.

Lit: Reisner, Bull. MFA XVI/97 (1918): 79; RCK Il, 78,
80, 84, fig. 55, pl. CXVIIL.C; Vercoutter, Kush 7 (1959):
pl. XXXilla
"
260,ELEMENTS OF A NECKLACE,"Gold, amethyst; H. 4.5 cm, W. 2.7 cm,","Khartoum, National Museum 511","260 ELEMENTS OF A NECKLACE

Gold, amethyst; H. 4.5 cm, W. 2.7 cm,
Th. 0.9 cm

From Meroe, Palace area, Building 294
Oxford Excavations (Garstang), 1911
Napatan, 568-542 ac.

Khartoum, National Museum 511

Seven holes were punched through
hollow, trapezoidal gold sheet boxes to
take the threaded cords of a seven-
tiered necklace. On the central ele-
ment, a hieroglyphic inscription bears
the name of King Aramatelqo; on the
left, the metal is inscribed with the
name of his successor, Malonagen.
Both rulers are “beloved of Hathor,
mistress of Dendera."" The right panel
is a replica fashioned after the original
in Brooklyn. The excavator, Garstang,
produced several replicas (now in
Brooklyn, Liverpool, and elsewhere)
from some of the gold found with the
necklace elements in the city area of
Meroe, in a hoard beneath a building
foundation.

231
"
261,GOLD SHEET WITH CHASED DECORATION,"Gold; H. 5.2 cm, W. 4.4 cm,","Khartoum, National Museum 1359","261 GOLD SHEET WITH CHASED DECORATION

Gold; H. 5.2 cm, W. 4.4 cm,

Th. 0.05-0.3 cm

Harvard University-HFA Boston Expedition,
February 1917, field no. 17-2-237
Napatan, 510-487 ..c.

Khartoum, National Museum 1359

Beneath a star-filled hieroglyph for
“heaven,” the finely chased gold sheet
shows at left the falcon-headed god Ra
with sun-disk, offering the hieroglyphs
for “life” and “stability” in his right
hand to King Amaniastabarqa at right,
whose name appears in the cartouche.
The latter wears the “Kushite cap”
with double uraeus and diadem, as
well as the royal ram’s-head neck orna-
ment, a broad collar, armlets, bra-
celets, and crossed bands on his
forearms. Beneath the triangular cen-
tral tab of his kilt is a calf-length gar-
ment with a fringed seam through
which his legs are visible. The king's
sandals are bowed at the toes. Above
him hovers the sun-disk with uraeus
and outspread wings forming a right
angle. King and god each extend a
hand to the other, while the king's left
hand is raised to the god in a gesture
of recitation. The reciprocal, interde-
pendent relationship between the god
and the king, and their close coopera-
tion, secure the foundations of world
order.

Lit: PM Vil: 225; RCK UI, V68f., 171, fig, 128, 280, pl. CXVILD;
Dunham, JNES U1 (1952): LUE, pl. XILA

--- Page 235 ---
259

, awa FEROE

WAPAT

260

232

--- Page 236 ---
THE KINGDOM OF NAPATA AND MEROE

tH,
Wh

aN
SN

233

--- Page 237 ---
262

CEES — 30e52

THE

KINGDOM OF

234

NAPATA AND

SEROE

= ee

--- Page 238 ---
THE KINGDOM OF

NAPATA AND

MEROE

264
"
262,FLORAL ELEMENTS,"Gold; H. 1.35-1.5: cm, Diam. 2.5-2.6 cm","Khartoum, National Museum 1362","262 FLORAL ELEMENTS

Gold; H. 1.35-1.5: cm, Diam. 2.5-2.6 cm
From Nuri, Pyramid Nu 16,

Chamber A

Harvard University-MFA Boston Expedition,
December 1916, field no. 16-12-299
Napatan, 435-431 .c.

Khartoum, National Museum 1362

These floral elements were found in
the burial chamber beneath the pyra-
mid of King Talakhamani at Nuri.
When the finds were divided, a portion
of them went to Boston, while the rest
Stayed in Khartoum. The seven or eight
blossoms are bell-shaped and have a
soldered gold hoop for attachment to
a textile or stringing.

Lit: RCK I, 20f., 278, pl, CKIILA; Vercoutter, Kush 7 (1959):
pl. XXXIlId
"
264,FINGER AND TOE SHEATHS,"Gold; H. 3.44.1 cm, Diam. 1.8-3.05 cm","Khartoum, National Museum 1497","264 FINGER AND TOE SHEATHS

———

Gold; H. 3.44.1 cm, Diam. 1.8-3.05 cm

From Nuri, Tomb Nu 42, Chamber B

Harvard University—MFA Boston Expedition,
January-February 1918, field no. 18-1-230/239,
18-2-178/179

Napatan, 593-568 8.¢.

Khartoum, National Museum 1497

The tradition of covering the fingers
and toes of the mummified body with
gold sheaths is well-attested in Egypt.
Excavation of both the treasure of
Tutankhamun and the royal tombs of
Tanis produced many examples similar
to these from the tomb of Queen
Asata, a wife of King Aspelta. Each
one is fashioned from a single piece of
gold sheet. The depressions represent-
ing the nails were filled with colored

paste.

Lit: RCK Ul, V16f., 2908, pl. CXXILD

--- Page 239 ---
bel

THE KINGDOM OF NAPA? A AND MEROE

YP SO ee
ei UTR EES
La rau

j ms.
ff i Ins Th.
/saz =I eR
Tre wel
= cele :
/ Va \

omy
Sas

all

P33 15
age

PES

MS ie CMSA tee AM DeC htc =W'o ASM ZS are MSHON | ich
eeeeO, SU Pe Ol Gane be S LETT eh I
IN Ze Wale che =00S Boot eb WS OPN CASE LOE Vi onal |
Lo ALANS ARES OPER = SUR =e SESE AEE IIS =O BM
RAL SME R62: LAS CIC ERS SAIL oN le LC
sels JSZ SRC SOUS EAA, CL eee RK Allin BCR
CE bo EWAN eS eAWOT Thee ltts S ie SURIRIorks AZHE Ie AAEM
AreRe x C1 ZPD E FasL UCM (ek eraiork& 0ST hs al Rae
AI ie, Runs Wo mlb HBAS e ACen Ao laht
SO — ATER OSE) SIME lon Ao eR
sre RENAN WZ oe ARM BLS Se RS CRIES IRIAN Ce
hos INSET KS IM OME S LOS Ya AMAR oslo
Ch 2 ROSSA 2 Zall pai 271s Pao be Vet
aise ler A Se 2 MR EVAR oh CSM al eermicthiol — IF Alto Se
CRON Lea etl RZ RCS SNe SRS e MOS Tee Mok

i lol Th PR SS IZ fee (kA Meeos lr Slee SS Ollie eeIR [0m
Elna HS REA Go = oleh RA AN Me Mo free (|= 1 Ml es RE 8

folithe &— hn Soy MBAs hee pevSS. BSW EAM RS

re OFAN SCOR MIR ern BM SM CAats QR = CLS
FLEA TIRE“ PLM Chin Arms s1? BS — Dalle chm RBH? EEC LI° e,
UAL Anmb, RSF afi S oh. MNP bo aot euch
WRG Zeno | Mee NC RSMO mT GAT LA LMAT the CO APT
ife $ RMI Zia RENE =~ Ole Mall 6 AMO“ RS OL
PAINE RIDE LS Ee VERS KP BS Re oe ame He oo

tow O—rimt1or — © —
ee = eee Wied Ge Lato TIG= ISU Spe Mogg TT IOS RNR A Mima LP
[LO soe HE ee va

2 bra (R~ LAMM? AS KGS AST A Moe KATIE

Ey ees

165

236

--- Page 240 ---
THE KING. GM OF
"
266,Mirror oF KING NASTASEN,"Silver, bronze; H. 34.7 cm,W. 22.2 cm, Th. 4.8 cm","Khartoum, National Museum 1374","266 Mirror oF KING NASTASEN

Silver, bronze; H. 34.7 cm,W. 22.2 cm, Th. 4.8 cm
From Nuri, Pyramid Nu 15, Chamber A

Harvard University-HFA Boston Expedition,
February 1917, field no. 17-2-1992

Napatan, 335-315 .c.

Khartoum, National Museum 1374

Mirrors with decorated figural handles
are known from the reigns of Shabako
and Amani-natake-lebte. Nastasens
mirror presents the highpoint of these
examples of the goldsmith’s craft. The
slightly oval bronze disk was polished
on both sides. Set into a sickle-shaped
support of silver representing a Cres
cent moon, the disk becomes an image
of the moon. The mirror’s handle takes
the form of a column with a papyrus
capital. Four sculptured deities stand
with their backs to the column.
Aligned with the front and back are
Amun in human form and the falcon-
headed Khons with crescent moon. On
the sides, beneath the sickle-shaped
support, stand the goddesses Mut,

238

NAPA} AND MEROE

with Double Crown, and Hathor, with
cow's horns. Between the capital and
the mirror’s disk is an abacus with the
name of Nastasen on each of its four
sides. The abacus mediates between
the realm of the earth, symbolized by
the papyrus, and that of heaven,
expressed by the lunar motif of the
mirror's disk.

Surrounding a column with  three-
dimensional figures is a concept for-
eign to Egyptian art but attested
several times in Meroitic architecture,
for example in the great complex of
Musawwarat es-Sufra.

Lit: PM Vil: 228; Reisner, Bull. MFA XVI/97 (1918): 78; RCK
Il, 246f, fig. 192, 249, 285, pl. XCI.B—F

v 166>

--- Page 242 ---


--- Page 243 ---"
270,STATUE OF A KING,"Bronze, stuccoed and gilded; H. 50 cm, W. 17.6 cm,","Khartoum, National Museum 24705","270 STATUE OF A KING

Bronze, stuccoed and gilded; H. 50 cm, W. 17.6 cm,
Th. 16.7 cn

From Tabo, Argo istand; Court of the great temple
Excavations of the Fondation Blackmer—University
of Geneva, 1973-1974

Heroitic, c. 200 ac.

Khartoum, National Museum 24705

One of the most important discoveries
for the art history of the Sudan in
recent decades was made by a Swiss
expedition to Tago, on the island of
Argo, led by Charles Maystre. In
January, 1974, a gilded bronze statue
came to light in a small pit within the
court of the great temple. Apparently
hidden there, this piece is not only the
largest metal sculpture of the Sudan,
but it also reveals a previously
unknown dimension of Napatan and
Meroitic art. Among its extraordinary
features are the unusually lively expres-
sion created by the inlaid eyes, and the
lifelike sense of motion.

The male figure strides forward with
left arm gently extended before the
body and hand below the waist. The
right forearm reaches into free space.
The freedom of motion and resulting
dynamic effect is allowed by the use of
metal, which eliminates any need for
supporting structures for the arms. The
pose of the left arm may be explained
by a minor iconographic detail. A
thumb ring is shown on the right
thumb (cf. cat. 271), part of the equip-
ment often worn by archers. From this
we can discern that the left hand held
a bow. The forearm guard on the left
arm is also part of the archer’s accou-
trements.

This archer is a king. The Kushite cap
with double uraeus and diadem, the
cord necklace with three ram’s head
amulets, and the kilt are all royal

THE KINGDOM OF

attributes. A broad collar, earrings, and
upper armbands complete the jewelry,
and the figure wears sandals.

A layer of plaster was added to the
metal surface, which was roughened
with punches. Along with the differen-
tiated surface modeling, the plaster
served as a ground for the gilding that
covered the entire body, giving the
impression that the statue was made
of solid gold.

The statue was probably buried toward
the end of the pre-Christian era, per-
haps to protect it from enemy invasion.
By this time it had apparently already
lost a significant portion of its gilding,
for its date of manufacture was con-
siderably earlier. Stylistically, the figure
dates to c. 200 B.c., corresponding
directly with its stocky, extremely pow-
erful proportions to the tradition
favored by Napatan sculpture. The
facial features—especially the small,
pouting mouth—find their closest par-
allels in the reliefs of the precisely
dated Lion Temple of Musawwarat es-
Sufra.

The existence of this figure, found at
Tabo, far from the religious and politi-
cal centers, suggests that an equally
costly statue inventory once belonged
to the temples of Napata or the new
capital city of Meroe. But as the sort of
portable articles particularly favored by
temple thieves, such statues have not
survived the millennia.

Lit: Ledant, Orientalia 44 (1975): 234, pl. XXY, fig. 24;
Ch. Haystre, Tabo |; Statue en bronce d'un roi méroitique
(Geneva, 1986); Wenig, catalogue AiA Il, 84f,, fig. 63

244

NAPATA = ND MEROE

271
"
272,HEAD OF A STATUE OF A QUEEN,"Granite; H. 29 om,W. 24 om, Th. 32 cm","Khartoum, National Museum 24556","272 HEAD OF A STATUE OF A QUEEN

Granite; H. 29 om,W. 24 om, Th. 32 cm
From Meroe, town; Building KC 104

Excavations of the University of Calgary and the
University of Khartoum (P. Shinnie) 1976,

field no. 6682

Hervitic

Khartoum, National Museum 24556

The hairstyle identifies this head as a
female who, to judge from the over-life-
size format, may have belonged to the
royal family. The beard support at the chin
S Not unexpected, since Meroitic queens
Often wore the ceremonial beard as an
emblem of their royal status. With its
bulging eyes and full lips, the head belongs
stylistically in the first to second century
AD. Additional clues may be expected
from the forthcoming excavation report.
Lit: P. Shinnie, Herog (Warsaw, 1986), fig. 37

212

THE KINGDOM OF
"
274,STATUE OF A PRISONER,"Sandstone; H. 43.9 cm, W. 20.3 cm,","Khartoum, National Museum 24397","274 STATUE OF A PRISONER

Sandstone; H. 43.9 cm, W. 20.3 cm,

Th. 42 cm

From Tabo, Argo island

Excavations of the Fondation Blackmer—University
of Geneva, 1965-1967

Meroitic, beginning of the Christian era
Khartoum, National Museum 24397

Since the very beginnings of Egyptian
history, a diverse symbolic repertory for
representing the destruction of ene-
mies was an integral part of the reign-
ing king's ideology. Egypt's foes were
separated into three groups: Asiatics,
Libyans, and Nubians. With the
Nubians’ adoption of numerous motifs
from Egyptian art, this pictorial sym-
bolism finds its way into royal repre-
sentations of Napatan and Meroitic
art. From being enemy of a constantly
triumphant pharaoh, the Nubian ruler
has now risen to the position of king
himself. In Kushite temple reliefs, long
rows of enemies taken prisoner by the
king are sometimes modeled directly
upon Egyptian reliefs of the New
Kingdom. The temple of Amenhotep Ill
at Soleb is a good example, and many
other models for inspiration were
probably available on the New
Kingdom temple walls at Gebel Barkal.
Anachronisms creep into the scenes
because of this copy work, representa-
tions of peoples who have long since
disappeared from the historical stage.
In many scenes, however, the image of
the enemy is updated, with two
groups receiving particular attention: a
central African or Nilotic type, and an
ethnic group characterized by its coif-
fure of stiffly vertical, middle-length
hair. This second representation seems
to portray the Bedouin Bedja of the
eastern desert, who probably posed a
constant threat.

MEROE

On the basis of the presence of the
hairstyle described above, the prisoner
figure from Tabo belongs to this ethnic
group. He is shown kneeling with his
elbows bound behind the back. The
bonds run diagonally over the
hindquarters to the ankles, tying the
body up like a package. The feet are
crushed beneath the shins. The head
leans horizontally backward, and a
hole is drilled through the neck
between the collarbones, going down
to the base of the statue

Two reliefs on the back of the pylon of
the Lion temple at Naga (see fig. 43,
p. 266) provide the explanation for this
detail. A long, sharp lance has been
driven into the body of a bound pris-
oner shown in identical pose, and the
lion-god Apedemak sits upon it. The

274

statue proves that this motif was not
simply invented for relief representa-
tions but also formed Part of the deco-
rative program for temples, executed
in brutal three-dimensional realism.

Lit: Maystre, Kush 15 (1973): 197, pl. XXXVII; Wenig,
catalogue AIA II, 219, no. 140. Cf. also Kendall, Meroitica 15
(1989): 683-87, fig. I1a-f, pl.V; Tordk, Meroitica 10
(1984): 49-215

247


--- Page 251 ---
THE

215
"
275,FRAGHENT OF A THRONE BASE,"Sandstone; H. 16.5 om, W. 38.6 cm, Th. 47.6 cm","Khartoum, National Museum 24554","275 FRAGHENT OF A THRONE BASE

—,
Sandstone; H. 16.5 om, W. 38.6 cm, Th. 47.6 cm
From Meroe

Excavations of the University of Calgary and

the University of Khartoum (P. Shinnie), 1976
Heroitic

Khartoum, National Museum 24554

A relief figure of a captive is carved in
frontal view on the smoothed surface
of the stone. The elbows are bound
behind the back, the forearms extend-
@d to the sides. A band is placed
around the fingers, and straps cross
Over the shoulder and breast. The hair
is combed stiffly upward and tied with
a cord. The rest of the costume corre-
sponds to the details seen above in cat.
274. The captive is a Bedja, a Bedouin
of the eastern desert,

A hand is preserved on the edge of

KINGDOM OF NAPATA AND MEROE

248

both sides of the fragment, each one
likewise wearing a band around the
middle finger; these are the remains of
two additional prisoner figures.

Lit: Unpublished. On the enemy symbolism: ‘ Schoske,
Das Erschlagen der Feinde: Ikonographie und Stilistik der
Feindvernichtung im alten Agypten (Ann Arbor, 1994);
Kendall, Meroitica 15 (1989): 683-87, fig. Ila-f, pl. ¥,
Leclant and Clerc, Orientalia 58 (1989): 417-18, fig. 74;
Tardk, Meroitica 10 (1984): 49-215

216

--- Page 252 ---
THE Kit GDOM OF

ed 7-2 e3we Ss @ - eS sT7 aL

MEROE
"
